"Año","Semestre","Administración de empresas y derecho","Agricultura, silvicultura, pesca y veterinaria","Artes y humanidades","Ciencias naturales, matemáticas y estadística","Ciencias sociales, periodismo e información","Educación","Ingeniería, industria y construcción","Salud y bienestar","Sin información","Tecnologías de la información y la comunicación (TIC)","Total"
"2024","1","5735","5542","5773","6615","4896","159","18022","6617","0","3224","56583"
"2023","1","5739","5645","5758","6780","4979","218","18334","6606","0","2999","57058"
"2023","2","5677","5431","5651","6514","4772","175","17938","6376","0","3129","55663"
"2022","1","5382","5764","5574","6674","4796","247","18515","6671","0","2846","56469"
"2022","2","5624","5838","5655","6797","4821","226","18560","6552","0","3017","57090"
"2021","1","5928","5842","5742","6903","5034","294","19317","6488","0","2883","58431"
"2021","2","5509","5893","5556","6718","4815","244","18835","6671","0","2865","57106"
"2020","1","4742","4043","4929","4707","3997","413","12598","6294","0","1917","43640"
"2020","2","5551","5421","5293","6363","4689","401","18549","6271","0","2630","55168"
"2019","1","5227","5224","5419","5866","4724","494","17768","6268","0","2314","53304"
"2019","2","5410","5257","5455","6027","4761","490","18170","6275","0","2439","54284"
"2018","1","5462","5207","5572","5888","4732","662","18151","6160","0","2193","54027"
"2018","2","5416","5222","5474","5813","4724","526","18140","6172","0","2234","53721"
