"Año","Semestre","Estrato 1","Estrato 2","Estrato 3","Estrato 4","Estrato 5","Estrato 6","ND/NE","Total"
"2024","1","10372","20460","17952","4829","977","225","1768","56583"
"2023","1","9937","20423","18110","4752","987","239","2610","57058"
"2023","2","9926","20027","17718","4659","965","221","2147","55663"
"2022","1","9283","19997","17484","4419","893","211","4182","56469"
"2022","2","9814","20392","17747","4518","924","224","3471","57090"
"2021","1","8957","20066","18178","4867","1019","263","5081","58431"
"2021","2","9202","19996","17786","4552","928","218","4424","57106"
"2020","1","5831","14653","13940","4020","700","220","4276","43640"
"2020","2","8018","18968","17406","4758","984","269","4765","55168"
"2019","1","6259","16576","15790","4412","942","256","9069","53304"
"2019","2","6907","18372","17689","4923","1043","290","5060","54284"
"2018","1","5675","16581","16026","4311","964","272","10198","54027"
"2018","2","5936","16626","15886","4318","955","279","9721","53721"
"2017","1","5340","16452","16153","4279","934","266","10456","53880"
"2017","2","5471","16494","16066","4247","932","268","9976","53454"
"2016","1","4896","16271","16443","4225","931","282","10534","53582"
"2016","2","5089","16530","16301","4199","915","274","10143","53451"
"2015","1","4592","15922","16638","4117","906","282","10093","52550"
"2015","2","4734","16206","16496","4165","902","300","9874","52677"
"2014","1","4330","15590","16500","3998","884","272","9800","51374"
"2014","2","4408","15884","16533","4028","868","274","9632","51627"
"2013","1","3947","15308","16838","4172","923","271","9847","51306"
"2013","2","4044","15625","16615","4039","888","284","9510","51005"
"2012","1","3643","14938","16816","4077","908","260","9254","49896"
"2012","2","3795","15158","16590","4055","883","272","8899","49652"
"2011","1","3324","14203","16756","4106","956","254","9281","48880"
"2011","2","2640","11727","13866","3418","795","207","16126","48779"
"2010","1","2965","13545","16828","4194","959","250","8012","46753"
"2010","2","3064","13699","16530","4022","926","252","7934","46427"
"2009","1","2625","13217","17161","4256","971","246","6724","45200"
"2009","2","2784","13288","16771","4100","926","255","6927","45051"
