"Año","Semestre","Código Departamento","Código Municipio","Departamento","Municipio","Total"
"2023","1","5","5001","ANTIOQUIA","MEDELLÍN","127"
"2023","1","5","5002","ANTIOQUIA","ABEJORRAL","1"
"2023","1","5","5040","ANTIOQUIA","ANORÍ","1"
"2023","1","5","5045","ANTIOQUIA","APARTADÓ","4"
"2023","1","5","5051","ANTIOQUIA","ARBOLETES","2"
"2023","1","5","5088","ANTIOQUIA","BELLO","7"
"2023","1","5","5101","ANTIOQUIA","CIUDAD BOLÍVAR","1"
"2023","1","5","5129","ANTIOQUIA","CALDAS","2"
"2023","1","5","5147","ANTIOQUIA","CAREPA","1"
"2023","1","5","5154","ANTIOQUIA","CAUCASIA","3"
"2023","1","5","5197","ANTIOQUIA","COCORNÁ","1"
"2023","1","5","5212","ANTIOQUIA","COPACABANA","1"
"2023","1","5","5234","ANTIOQUIA","DABEIBA","1"
"2023","1","5","5237","ANTIOQUIA","DONMATÍAS","1"
"2023","1","5","5266","ANTIOQUIA","ENVIGADO","5"
"2023","1","5","5308","ANTIOQUIA","GIRARDOTA","2"
"2023","1","5","5310","ANTIOQUIA","GÓMEZ PLATA","1"
"2023","1","5","5318","ANTIOQUIA","GUARNE","1"
"2023","1","5","5360","ANTIOQUIA","ITAGÜÍ","10"
"2023","1","5","5361","ANTIOQUIA","ITUANGO","1"
"2023","1","5","5368","ANTIOQUIA","JERICÓ","1"
"2023","1","5","5440","ANTIOQUIA","MARINILLA","2"
"2023","1","5","5490","ANTIOQUIA","NECOCLÍ","1"
"2023","1","5","5579","ANTIOQUIA","PUERTO BERRÍO","2"
"2023","1","5","5615","ANTIOQUIA","RIONEGRO","10"
"2023","1","5","5631","ANTIOQUIA","SABANETA","1"
"2023","1","5","5665","ANTIOQUIA","SAN PEDRO DE URABÁ","2"
"2023","1","5","5690","ANTIOQUIA","SANTO DOMINGO","1"
"2023","1","5","5697","ANTIOQUIA","EL SANTUARIO","4"
"2023","1","5","5736","ANTIOQUIA","SEGOVIA","1"
"2023","1","5","5756","ANTIOQUIA","SONSÓN","1"
"2023","1","5","5837","ANTIOQUIA","TURBO","5"
"2023","1","5","5847","ANTIOQUIA","URRAO","1"
"2023","1","5","5854","ANTIOQUIA","VALDIVIA","1"
"2023","1","5","5887","ANTIOQUIA","YARUMAL","1"
"2023","1","5","5890","ANTIOQUIA","YOLOMBÓ","1"
"2023","1","5","5893","ANTIOQUIA","YONDÓ","1"
"2023","1","8","8001","ATLÁNTICO","BARRANQUILLA","180"
"2023","1","8","8137","ATLÁNTICO","CAMPO DE LA CRUZ","1"
"2023","1","8","8296","ATLÁNTICO","GALAPA","1"
"2023","1","8","8372","ATLÁNTICO","JUAN DE ACOSTA","1"
"2023","1","8","8433","ATLÁNTICO","MALAMBO","2"
"2023","1","8","8560","ATLÁNTICO","PONEDERA","1"
"2023","1","8","8606","ATLÁNTICO","REPELÓN","1"
"2023","1","8","8638","ATLÁNTICO","SABANALARGA","5"
"2023","1","8","8685","ATLÁNTICO","SANTO TOMÁS","1"
"2023","1","8","8758","ATLÁNTICO","SOLEDAD","12"
"2023","1","8","8832","ATLÁNTICO","TUBARÁ","1"
"2023","1","11","11001","BOGOTÁ, D. C.","BOGOTÁ, D.C.","21551"
"2023","1","13","13001","BOLÍVAR","CARTAGENA DE INDIAS","135"
"2023","1","13","13006","BOLÍVAR","ACHÍ","1"
"2023","1","13","13052","BOLÍVAR","ARJONA","6"
"2023","1","13","13074","BOLÍVAR","BARRANCO DE LOBA","1"
"2023","1","13","13188","BOLÍVAR","CICUCO","1"
"2023","1","13","13244","BOLÍVAR","EL CARMEN DE BOLÍVAR","2"
"2023","1","13","13430","BOLÍVAR","MAGANGUÉ","9"
"2023","1","13","13440","BOLÍVAR","MARGARITA","1"
"2023","1","13","13468","BOLÍVAR","MOMPÓS","7"
"2023","1","13","13549","BOLÍVAR","PINILLOS","1"
"2023","1","13","13580","BOLÍVAR","REGIDOR","1"
"2023","1","13","13647","BOLÍVAR","SAN ESTANISLAO","1"
"2023","1","13","13654","BOLÍVAR","SAN JACINTO","4"
"2023","1","13","13657","BOLÍVAR","SAN JUAN NEPOMUCENO","3"
"2023","1","13","13667","BOLÍVAR","SAN MARTÍN DE LOBA","4"
"2023","1","13","13670","BOLÍVAR","SAN PABLO","6"
"2023","1","13","13673","BOLÍVAR","SANTA CATALINA","1"
"2023","1","13","13688","BOLÍVAR","SANTA ROSA DEL SUR","34"
"2023","1","13","13744","BOLÍVAR","SIMITÍ","4"
"2023","1","13","13780","BOLÍVAR","TALAIGUA NUEVO","1"
"2023","1","13","13836","BOLÍVAR","TURBACO","2"
"2023","1","13","13838","BOLÍVAR","TURBANÁ","1"
"2023","1","13","13873","BOLÍVAR","VILLANUEVA","1"
"2023","1","15","15001","BOYACÁ","TUNJA","487"
"2023","1","15","15047","BOYACÁ","AQUITANIA","14"
"2023","1","15","15051","BOYACÁ","ARCABUCO","2"
"2023","1","15","15087","BOYACÁ","BELÉN","6"
"2023","1","15","15092","BOYACÁ","BETÉITIVA","1"
"2023","1","15","15097","BOYACÁ","BOAVITA","10"
"2023","1","15","15104","BOYACÁ","BOYACÁ","5"
"2023","1","15","15109","BOYACÁ","BUENAVISTA","6"
"2023","1","15","15131","BOYACÁ","CALDAS","2"
"2023","1","15","15135","BOYACÁ","CAMPOHERMOSO","1"
"2023","1","15","15162","BOYACÁ","CERINZA","1"
"2023","1","15","15172","BOYACÁ","CHINAVITA","4"
"2023","1","15","15176","BOYACÁ","CHIQUINQUIRÁ","163"
"2023","1","15","15180","BOYACÁ","CHISCAS","4"
"2023","1","15","15183","BOYACÁ","CHITA","4"
"2023","1","15","15185","BOYACÁ","CHITARAQUE","3"
"2023","1","15","15187","BOYACÁ","CHIVATÁ","2"
"2023","1","15","15189","BOYACÁ","CIÉNEGA","3"
"2023","1","15","15204","BOYACÁ","CÓMBITA","1"
"2023","1","15","15212","BOYACÁ","COPER","3"
"2023","1","15","15215","BOYACÁ","CORRALES","6"
"2023","1","15","15218","BOYACÁ","COVARACHÍA","3"
"2023","1","15","15223","BOYACÁ","CUBARÁ","4"
"2023","1","15","15224","BOYACÁ","CUCAITA","2"
"2023","1","15","15226","BOYACÁ","CUÍTIVA","1"
"2023","1","15","15238","BOYACÁ","DUITAMA","477"
"2023","1","15","15244","BOYACÁ","EL COCUY","6"
"2023","1","15","15248","BOYACÁ","EL ESPINO","3"
"2023","1","15","15276","BOYACÁ","FLORESTA","4"
"2023","1","15","15296","BOYACÁ","GÁMEZA","1"
"2023","1","15","15299","BOYACÁ","GARAGOA","50"
"2023","1","15","15322","BOYACÁ","GUATEQUE","30"
"2023","1","15","15325","BOYACÁ","GUAYATÁ","2"
"2023","1","15","15332","BOYACÁ","GÜICÁN DE LA SIERRA","6"
"2023","1","15","15367","BOYACÁ","JENESANO","1"
"2023","1","15","15368","BOYACÁ","JERICÓ","2"
"2023","1","15","15377","BOYACÁ","LABRANZAGRANDE","4"
"2023","1","15","15380","BOYACÁ","LA CAPILLA","2"
"2023","1","15","15401","BOYACÁ","LA VICTORIA","1"
"2023","1","15","15403","BOYACÁ","LA UVITA","5"
"2023","1","15","15407","BOYACÁ","VILLA DE LEYVA","14"
"2023","1","15","15425","BOYACÁ","MACANAL","1"
"2023","1","15","15442","BOYACÁ","MARIPÍ","6"
"2023","1","15","15455","BOYACÁ","MIRAFLORES","17"
"2023","1","15","15464","BOYACÁ","MONGUA","3"
"2023","1","15","15466","BOYACÁ","MONGUÍ","4"
"2023","1","15","15469","BOYACÁ","MONIQUIRÁ","24"
"2023","1","15","15476","BOYACÁ","MOTAVITA","1"
"2023","1","15","15480","BOYACÁ","MUZO","9"
"2023","1","15","15491","BOYACÁ","NOBSA","6"
"2023","1","15","15494","BOYACÁ","NUEVO COLÓN","3"
"2023","1","15","15500","BOYACÁ","OICATÁ","1"
"2023","1","15","15507","BOYACÁ","OTANCHE","10"
"2023","1","15","15511","BOYACÁ","PACHAVITA","1"
"2023","1","15","15514","BOYACÁ","PÁEZ","3"
"2023","1","15","15516","BOYACÁ","PAIPA","60"
"2023","1","15","15518","BOYACÁ","PAJARITO","2"
"2023","1","15","15531","BOYACÁ","PAUNA","7"
"2023","1","15","15537","BOYACÁ","PAZ DE RÍO","10"
"2023","1","15","15542","BOYACÁ","PESCA","1"
"2023","1","15","15572","BOYACÁ","PUERTO BOYACÁ","6"
"2023","1","15","15580","BOYACÁ","QUÍPAMA","1"
"2023","1","15","15599","BOYACÁ","RAMIRIQUÍ","16"
"2023","1","15","15600","BOYACÁ","RÁQUIRA","2"
