"Año","Semestre","Código Departamento","Código Municipio","Departamento","Municipio","Total"
"2024","1","5","5001","ANTIOQUIA","MEDELLÍN","3964"
"2024","1","5","5002","ANTIOQUIA","ABEJORRAL","7"
"2024","1","5","5004","ANTIOQUIA","ABRIAQUÍ","1"
"2024","1","5","5021","ANTIOQUIA","ALEJANDRÍA","3"
"2024","1","5","5030","ANTIOQUIA","AMAGÁ","23"
"2024","1","5","5031","ANTIOQUIA","AMALFI","19"
"2024","1","5","5034","ANTIOQUIA","ANDES","32"
"2024","1","5","5036","ANTIOQUIA","ANGELÓPOLIS","6"
"2024","1","5","5038","ANTIOQUIA","ANGOSTURA","6"
"2024","1","5","5040","ANTIOQUIA","ANORÍ","5"
"2024","1","5","5042","ANTIOQUIA","SANTA FÉ DE ANTIOQUIA","11"
"2024","1","5","5044","ANTIOQUIA","ANZÁ","9"
"2024","1","5","5045","ANTIOQUIA","APARTADÓ","55"
"2024","1","5","5051","ANTIOQUIA","ARBOLETES","29"
"2024","1","5","5059","ANTIOQUIA","ARMENIA","5"
"2024","1","5","5079","ANTIOQUIA","BARBOSA","56"
"2024","1","5","5086","ANTIOQUIA","BELMIRA","6"
"2024","1","5","5088","ANTIOQUIA","BELLO","901"
"2024","1","5","5091","ANTIOQUIA","BETANIA","5"
"2024","1","5","5093","ANTIOQUIA","BETULIA","12"
"2024","1","5","5101","ANTIOQUIA","CIUDAD BOLÍVAR","19"
"2024","1","5","5107","ANTIOQUIA","BRICEÑO","1"
"2024","1","5","5113","ANTIOQUIA","BURITICÁ","1"
"2024","1","5","5120","ANTIOQUIA","CÁCERES","5"
"2024","1","5","5125","ANTIOQUIA","CAICEDO","7"
"2024","1","5","5129","ANTIOQUIA","CALDAS","111"
"2024","1","5","5134","ANTIOQUIA","CAMPAMENTO","2"
"2024","1","5","5138","ANTIOQUIA","CAÑASGORDAS","9"
"2024","1","5","5142","ANTIOQUIA","CARACOLÍ","5"
"2024","1","5","5145","ANTIOQUIA","CARAMANTA","4"
"2024","1","5","5147","ANTIOQUIA","CAREPA","29"
"2024","1","5","5148","ANTIOQUIA","EL CARMEN DE VIBORAL","88"
"2024","1","5","5150","ANTIOQUIA","CAROLINA DEL PRINCIPE","8"
"2024","1","5","5154","ANTIOQUIA","CAUCASIA","106"
"2024","1","5","5172","ANTIOQUIA","CHIGORODÓ","21"
"2024","1","5","5190","ANTIOQUIA","CISNEROS","7"
"2024","1","5","5197","ANTIOQUIA","COCORNÁ","11"
"2024","1","5","5206","ANTIOQUIA","CONCEPCIÓN","5"
"2024","1","5","5209","ANTIOQUIA","CONCORDIA","4"
"2024","1","5","5212","ANTIOQUIA","COPACABANA","191"
"2024","1","5","5234","ANTIOQUIA","DABEIBA","6"
"2024","1","5","5237","ANTIOQUIA","DONMATÍAS","19"
"2024","1","5","5240","ANTIOQUIA","EBÉJICO","5"
"2024","1","5","5250","ANTIOQUIA","EL BAGRE","19"
"2024","1","5","5264","ANTIOQUIA","ENTRERRÍOS","17"
"2024","1","5","5266","ANTIOQUIA","ENVIGADO","391"
"2024","1","5","5282","ANTIOQUIA","FREDONIA","26"
"2024","1","5","5284","ANTIOQUIA","FRONTINO","8"
"2024","1","5","5306","ANTIOQUIA","GIRALDO","9"
"2024","1","5","5308","ANTIOQUIA","GIRARDOTA","88"
"2024","1","5","5310","ANTIOQUIA","GÓMEZ PLATA","18"
"2024","1","5","5313","ANTIOQUIA","GRANADA","5"
"2024","1","5","5315","ANTIOQUIA","GUADALUPE","6"
"2024","1","5","5318","ANTIOQUIA","GUARNE","102"
"2024","1","5","5321","ANTIOQUIA","GUATAPÉ","9"
"2024","1","5","5347","ANTIOQUIA","HELICONIA","2"
"2024","1","5","5360","ANTIOQUIA","ITAGÜÍ","462"
"2024","1","5","5361","ANTIOQUIA","ITUANGO","9"
"2024","1","5","5364","ANTIOQUIA","JARDÍN","14"
"2024","1","5","5368","ANTIOQUIA","JERICÓ","11"
"2024","1","5","5376","ANTIOQUIA","LA CEJA","118"
"2024","1","5","5380","ANTIOQUIA","LA ESTRELLA","94"
"2024","1","5","5390","ANTIOQUIA","LA PINTADA","1"
"2024","1","5","5400","ANTIOQUIA","LA UNIÓN","25"
"2024","1","5","5411","ANTIOQUIA","LIBORINA","2"
"2024","1","5","5425","ANTIOQUIA","MACEO","8"
"2024","1","5","5440","ANTIOQUIA","MARINILLA","98"
"2024","1","5","5467","ANTIOQUIA","MONTEBELLO","1"
"2024","1","5","5480","ANTIOQUIA","MUTATÁ","3"
"2024","1","5","5490","ANTIOQUIA","NECOCLÍ","8"
"2024","1","5","5495","ANTIOQUIA","NECHÍ","5"
"2024","1","5","5541","ANTIOQUIA","PEÑOL","33"
"2024","1","5","5543","ANTIOQUIA","PEQUE","4"
"2024","1","5","5576","ANTIOQUIA","PUEBLORRICO","3"
"2024","1","5","5579","ANTIOQUIA","PUERTO BERRÍO","10"
"2024","1","5","5585","ANTIOQUIA","PUERTO NARE","8"
"2024","1","5","5591","ANTIOQUIA","PUERTO TRIUNFO","10"
"2024","1","5","5604","ANTIOQUIA","REMEDIOS","8"
"2024","1","5","5607","ANTIOQUIA","RETIRO","37"
"2024","1","5","5615","ANTIOQUIA","RIONEGRO","190"
"2024","1","5","5628","ANTIOQUIA","SABANALARGA","3"
"2024","1","5","5631","ANTIOQUIA","SABANETA","187"
"2024","1","5","5642","ANTIOQUIA","SALGAR","3"
"2024","1","5","5647","ANTIOQUIA","SAN ANDRÉS DE CUERQUÍA","6"
"2024","1","5","5649","ANTIOQUIA","SAN CARLOS","6"
"2024","1","5","5652","ANTIOQUIA","SAN FRANCISCO","6"
"2024","1","5","5656","ANTIOQUIA","SAN JERÓNIMO","5"
"2024","1","5","5658","ANTIOQUIA","SAN JOSÉ DE LA MONTAÑA","5"
"2024","1","5","5659","ANTIOQUIA","SAN JUAN DE URABÁ","14"
"2024","1","5","5660","ANTIOQUIA","SAN LUIS","15"
"2024","1","5","5664","ANTIOQUIA","SAN PEDRO DE LOS MILAGROS","40"
"2024","1","5","5665","ANTIOQUIA","SAN PEDRO DE URABÁ","9"
"2024","1","5","5667","ANTIOQUIA","SAN RAFAEL","9"
"2024","1","5","5670","ANTIOQUIA","SAN ROQUE","14"
"2024","1","5","5674","ANTIOQUIA","SAN VICENTE","12"
"2024","1","5","5679","ANTIOQUIA","SANTA BÁRBARA","26"
"2024","1","5","5686","ANTIOQUIA","SANTA ROSA DE OSOS","35"
"2024","1","5","5690","ANTIOQUIA","SANTO DOMINGO","23"
"2024","1","5","5697","ANTIOQUIA","EL SANTUARIO","33"
"2024","1","5","5736","ANTIOQUIA","SEGOVIA","8"
"2024","1","5","5756","ANTIOQUIA","SONSÓN","15"
"2024","1","5","5761","ANTIOQUIA","SOPETRÁN","10"
"2024","1","5","5789","ANTIOQUIA","TÁMESIS","18"
"2024","1","5","5790","ANTIOQUIA","TARAZÁ","3"
"2024","1","5","5792","ANTIOQUIA","TARSO","2"
"2024","1","5","5819","ANTIOQUIA","TOLEDO","2"
"2024","1","5","5837","ANTIOQUIA","TURBO","20"
"2024","1","5","5842","ANTIOQUIA","URAMITA","2"
"2024","1","5","5847","ANTIOQUIA","URRAO","26"
"2024","1","5","5854","ANTIOQUIA","VALDIVIA","3"
"2024","1","5","5856","ANTIOQUIA","VALPARAÍSO","3"
"2024","1","5","5858","ANTIOQUIA","VEGACHÍ","2"
"2024","1","5","5861","ANTIOQUIA","VENECIA","5"
"2024","1","5","5885","ANTIOQUIA","YALÍ","5"
"2024","1","5","5887","ANTIOQUIA","YARUMAL","53"
"2024","1","5","5890","ANTIOQUIA","YOLOMBÓ","7"
"2024","1","5","5893","ANTIOQUIA","YONDO","1"
"2024","1","5","5895","ANTIOQUIA","ZARAGOZA","4"
"2024","1","8","8001","ATLÁNTICO","BARRANQUILLA","116"
"2024","1","8","8078","ATLÁNTICO","BARANOA","1"
"2024","1","8","8296","ATLÁNTICO","GALAPA","2"
"2024","1","8","8372","ATLÁNTICO","JUAN DE ACOSTA","1"
"2024","1","8","8433","ATLÁNTICO","MALAMBO","3"
"2024","1","8","8560","ATLÁNTICO","PONEDERA","1"
"2024","1","8","8573","ATLÁNTICO","PUERTO COLOMBIA","1"
"2024","1","8","8685","ATLÁNTICO","SANTO TOMÁS","3"
"2024","1","8","8758","ATLÁNTICO","SOLEDAD","20"
"2024","1","11","11001","BOGOTÁ, D. C.","BOGOTÁ, D.C.","22075"
"2024","1","11","11001","BOGOTÁ, D. C.","NAZARETH","10"
"2024","1","13","13001","BOLÍVAR","CARTAGENA DE INDIAS","159"
"2024","1","13","13006","BOLÍVAR","ACHÍ","3"
"2024","1","13","13042","BOLÍVAR","ARENAL","1"
"2024","1","13","13052","BOLÍVAR","ARJONA","5"
"2024","1","13","13222","BOLÍVAR","CLEMENCIA","1"
"2024","1","13","13244","BOLÍVAR","EL CARMEN DE BOLÍVAR","7"
"2024","1","13","13430","BOLÍVAR","MAGANGUÉ","6"
"2024","1","13","13440","BOLÍVAR","MARGARITA","1"
"2024","1","13","13442","BOLÍVAR","MARÍA LA BAJA","3"
"2024","1","13","13468","BOLÍVAR","SANTA CRUZ DE MOMPÓX","15"
"2024","1","13","13600","BOLÍVAR","RÍO VIEJO","1"
"2024","1","13","13654","BOLÍVAR","SAN JACINTO","3"
"2024","1","13","13657","BOLÍVAR","SAN JUAN NEPOMUCENO","2"
"2024","1","13","13667","BOLÍVAR","SAN MARTÍN DE LOBA","4"
"2024","1","13","13670","BOLÍVAR","SAN PABLO","8"
"2024","1","13","13683","BOLÍVAR","SANTA ROSA DE LIMA","2"
"2024","1","13","13688","BOLÍVAR","SANTA ROSA DEL SUR","49"
"2024","1","13","13744","BOLÍVAR","SIMITÍ","3"
"2024","1","13","13780","BOLÍVAR","TALAIGUA NUEVO","3"
"2024","1","13","13836","BOLÍVAR","TURBACO","11"
"2024","1","13","13873","BOLÍVAR","VILLANUEVA","1"
"2024","1","15","15001","BOYACÁ","TUNJA","443"
"2024","1","15","15022","BOYACÁ","ALMEIDA","1"
"2024","1","15","15047","BOYACÁ","SAN JUAN DE MOMBITA","5"
"2024","1","15","15051","BOYACÁ","ARCABUCO","3"
