"Año","Semestre","Colombiana","Extranjero","Sin información","Total"
"2023","1","56420","597","41","57058"
"2023","2","55015","593","55","55663"
"2022","1","55870","562","37","56469"
"2022","2","56485","568","37","57090"
"2021","1","57852","559","20","58431"
"2021","2","56521","553","32","57106"
"2020","1","43205","430","5","43640"
"2020","2","54644","514","10","55168"
"2019","1","52854","443","7","53304"
"2019","2","53795","478","11","54284"
"2018","1","53576","291","160","54027"
"2018","2","53265","341","115","53721"
"2017","1","53507","287","86","53880"
"2017","2","53060","277","117","53454"
"2016","1","53253","261","68","53582"
"2016","2","53124","256","71","53451"
"2015","1","52267","71","212","52550"
"2015","2","52367","102","208","52677"
"2014","1","51063","42","269","51374"
"2014","2","51403","60","164","51627"
"2013","1","51018","62","226","51306"
"2013","2","50713","49","243","51005"
"2012","1","49620","82","194","49896"
"2012","2","49344","70","238","49652"
"2011","1","48645","98","137","48880"
"2011","2","0","0","0","0"
"2010","1","46517","115","121","46753"
"2010","2","46195","102","130","46427"
"2009","1","45085","104","11","45200"
"2009","2","44948","91","12","45051"
