"Año","Semestre","Amazonía","Bogotá","Caribe","La Paz","Manizales","Medellín","Orinoquía","Palmira","Tumaco","Total"
"2024","1","271","33419","126","1315","5484","12405","334","2916","313","56583"
"2023","1","173","33844","71","1215","5630","12895","241","2783","206","57058"
"2023","2","172","33067","73","1256","5494","12352","223","2794","232","55663"
"2022","1","131","32888","83","1019","5770","13306","177","2870","225","56469"
"2022","2","167","33496","75","1153","5748","13216","168","2884","183","57090"
"2021","1","202","33844","107","739","6007","13940","251","3024","317","58431"
"2021","2","154","33066","91","875","5680","13828","193","2931","288","57106"
"2020","1","204","31314","70","386","5743","2471","260","2918","274","43640"
"2020","2","186","31820","64","560","5836","13112","267","2991","332","55168"
"2019","1","215","31567","109","0","5605","12358","263","2881","306","53304"
"2019","2","225","32097","54","201","5596","12693","270","2919","229","54284"
"2018","1","168","32087","92","0","5653","12441","253","3099","234","54027"
"2018","2","233","31924","90","0","5583","12384","302","2949","256","53721"
"2017","1","167","31529","69","0","5771","12622","167","3368","187","53880"
"2017","2","162","31355","78","0","5764","12453","190","3268","184","53454"
"2016","1","128","31474","59","0","5767","12599","88","3351","116","53582"
"2016","2","137","31055","63","0","5781","12736","112","3405","162","53451"
"2015","1","144","31170","44","0","5586","12330","97","3130","49","52550"
"2015","2","124","30961","31","0","5535","12659","83","3211","73","52677"
"2014","1","142","30855","41","0","5305","11911","140","2980","0","51374"
"2014","2","126","30803","37","0","5405","12044","120","3092","0","51627"
"2013","1","146","30902","65","0","5314","11738","119","3022","0","51306"
"2013","2","178","30444","66","0","5331","11745","160","3081","0","51005"
"2012","1","159","29788","96","0","4947","11924","181","2801","0","49896"
"2012","2","179","29494","63","0","5064","11698","168","2986","0","49652"
"2011","1","212","29392","76","0","4735","11708","158","2599","0","48880"
"2011","2","183","29208","66","0","4719","11767","170","2666","0","48779"
"2010","1","165","28143","68","0","4655","11202","132","2388","0","46753"
"2010","2","178","27923","57","0","4511","11230","114","2414","0","46427"
"2009","1","90","27139","45","0","4429","10993","97","2407","0","45200"
"2009","2","89","27192","56","0","4455","10706","131","2422","0","45051"
